,doc_name,qualifications,specialities,verification_label,practo_score,practo_votes,description,clinics
10,Dr. Sangita B. Manek,"MBBS, DOMS",Ophthalmologist/ Eye Surgeon,Not Verified,Not Scored,0.0,"Dr. Sangita B. Manek is an Ophthalmologist/ Eye Surgeon in Mulund West, Mumbai. Dr. Sangita B. Manek practices at Hira Mongi Navneet Hospital in Mulund West, Mumbai. She completed MBBS and DOMS.<br/><br/> You can get the phone number of Dr. Sangita B. Manek on Practo.com.","{'0': {'city': 'Mumbai', 'locality': 'Mulund West', 'clinic_geo_coordinates': {'latitude': 19.1712771, 'longitude': 72.950284}, 'clinic_address': 'Valji Ladha Road, Landmark : Near Kalidas Natyagruh & Opposite Acchija Hotel, Mumbai', 'clinic_url': 'https://www.practo.com/mumbai/hospital/hira-mongi-navneet-hospital-mulund-west1', 'clinic_timings': ' TUE, THU, SAT 8:00 AM - 6:30 PM ', 'clinic_name': 'Hira Mongi Navneet Hospital'}}"
11,Dr. Krishna Malekar,"MBBS, MS - Ophthalmology",Ophthalmologist/ Eye Surgeon,Not Verified,Not Scored,0.0,"Dr. Krishna Malekar is an Ophthalmologist/ Eye Surgeon in Mulund East, Mumbai. Dr. Krishna Malekar practices at Amey Eye Clinic & MicroSurgry Centre in Mulund East, Mumbai. He completed MBBS and MS - Ophthalmology.<br/><br/> You can get the phone number of Dr. Krishna Malekar on Practo.com.","{'0': {'city': 'Mumbai', 'locality': 'Mulund East', 'clinic_geo_coordinates': {'latitude': 19.16688, 'longitude': 72.963344}, 'clinic_address': 'Ankita Apartment, Opposite Mulund Gymkhana, Navghar Road, Mulund East, Mumbai', 'clinic_url': 'https://www.practo.com/mumbai/clinic/amey-eye-clinic-microsurgry-centre-mulund-east', 'clinic_timings': ' MON - SAT 11:30 AM - 1:00 PM7:30 PM - 8:30 PM ', 'clinic_name': 'Amey Eye Clinic & MicroSurgry Centre'}}"
12,Dr. Mehul P. Sanghav,"MBBS, MS - Ophthalmology, DOMS",Ophthalmologist/ Eye Surgeon,Not Verified,Not Scored,0.0,"Dr. Mehul P. Sanghav is an Ophthalmologist/ Eye Surgeon in Mulund West, Mumbai. Dr. Mehul P. Sanghav practices at Hira Mongi Navneet Hospital in Mulund West, Mumbai. He completed MBBS, MS - Ophthalmology and DOMS.<br/><br/> You can get the phone number of Dr. Mehul P. Sanghav on Practo.com.","{'0': {'city': 'Mumbai', 'locality': 'Mulund West', 'clinic_geo_coordinates': {'latitude': 19.1712771, 'longitude': 72.950284}, 'clinic_address': 'Valji Ladha Road, Landmark : Near Kalidas Natyagruh & Opposite Acchija Hotel, Mumbai', 'clinic_url': 'https://www.practo.com/mumbai/hospital/hira-mongi-navneet-hospital-mulund-west1', 'clinic_timings': ' WED, FRI 8:00 AM - 6:30 PM ', 'clinic_name': 'Hira Mongi Navneet Hospital'}}"
13,Dr. Somen Seth,"MBBS, MS - Ophthalmology",Ophthalmologist/ Eye Surgeon,Not Verified,Not Scored,0.0,"Dr. Somen Seth is an Ophthalmologist/ Eye Surgeon in Goregaon East, Mumbai. Dr. Somen Seth practices at Suresh Eye Clinic in Goregaon East, Mumbai. He completed MBBS and MS - Ophthalmology.<br/><br/> You can get the phone number of Dr. Somen Seth on Practo.com.","{'0': {'city': 'Mumbai', 'locality': 'Goregaon East', 'clinic_geo_coordinates': {'latitude': 'NA', 'longitude': 'NA'}, 'clinic_address': 'A-3, Padmavati Nagar, Film City Road, Goregaon (east), Mumbai', 'clinic_url': 'https://www.practo.com/mumbai/clinic/suresh-eye-clinic-goregaon-east', 'clinic_timings': ' FRI, SUN 5:00 PM - 6:00 PM ', 'clinic_name': 'Suresh Eye Clinic'}}"
14,Dr. Noorjahan,"MBBS, MS - Ophthalmology",Ophthalmologist/ Eye Surgeon,Not Verified,Not Scored,0.0,"Dr. Noorjahan is an Ophthalmologist/ Eye Surgeon in Bhayandar East, Mumbai. Dr. Noorjahan practices at Prajwal Eye Clinic in Bhayandar East, Mumbai. He completed MBBS and MS - Ophthalmology.<br/><br/> You can get the phone number of Dr. Noorjahan on Practo.com.","{'0': {'city': 'Mumbai', 'locality': 'Bhayandar East', 'clinic_geo_coordinates': {'latitude': 'NA', 'longitude': 'NA'}, 'clinic_address': 'Krishaneela Apartment B BP Road Bhyander East Bhaynder, Landmark: Opp To Sheetal Shopping Complex, Mumbai', 'clinic_url': 'https://www.practo.com/mumbai/clinic/prajwal-eye-clinic-bhayandar-east', 'clinic_timings': ' MON - SAT 6:30 PM - 8:00 PM ', 'clinic_name': 'Prajwal Eye Clinic'}}"
15,Dr. Nivvedita Patil Kartik,"MBBS, DOMS",Ophthalmologist/ Eye Surgeon,Not Verified,Not Scored,0.0,"Dr. Nivvedita Patil Kartik is an Ophthalmologist/ Eye Surgeon in Opera House, Mumbai. Dr. Nivvedita Patil Kartik practices at Bay View Clinic in Opera House, Mumbai. He completed MBBS and DOMS.<br/><br/> You can get the phone number of Dr. Nivvedita Patil Kartik on Practo.com.","{'0': {'city': 'Mumbai', 'locality': 'Opera House', 'clinic_geo_coordinates': {'latitude': 18.947757, 'longitude': 72.796206}, 'clinic_address': 'Back Bay View 1st floor, 3A Mama Parmanand Marg, Opera House. Landmark: Next to TBZ Jewellers, Opposite Charni Road Station, Mumbai', 'clinic_url': 'https://www.practo.com/mumbai/clinic/bay-view-clinic-opera-house', 'clinic_timings': ' MON - FRI 5:00 PM - 7:00 PM ', 'clinic_name': 'Bay View Clinic'}}"
16,Dr. R Maniar,"MBBS, MS - Ophthalmology",Ophthalmologist/ Eye Surgeon,Not Verified,Not Scored,0.0,"Dr. R Maniar is an Ophthalmologist/ Eye Surgeon in Opera House, Mumbai. Dr. R Maniar practices at Bay View Clinic in Opera House, Mumbai. He completed MBBS and MS - Ophthalmology.<br/><br/> You can get the phone number of Dr. R Maniar on Practo.com.","{'0': {'city': 'Mumbai', 'locality': 'Opera House', 'clinic_geo_coordinates': {'latitude': 18.947757, 'longitude': 72.796206}, 'clinic_address': 'Back Bay View 1st floor, 3A Mama Parmanand Marg, Opera House. Landmark: Next to TBZ Jewellers, Opposite Charni Road Station, Mumbai', 'clinic_url': 'https://www.practo.com/mumbai/clinic/bay-view-clinic-opera-house', 'clinic_timings': ' MON - FRI 5:00 PM - 7:00 PM ', 'clinic_name': 'Bay View Clinic'}}"
17,Dr. Bhabi Chawala,"MBBS, MS - Ophthalmology",Ophthalmologist/ Eye Surgeon,Not Verified,Not Scored,0.0,"Dr. Bhabi Chawala is an Ophthalmologist/ Eye Surgeon in Chunabhatti, Mumbai. Dr. Bhabi Chawala practices at Pramukhswami Eye Hospital in Chunabhatti, Mumbai. The doctor completed MBBS and MS - Ophthalmology.<br/><br/> You can get the phone number of Dr. Bhabi Chawala on Practo.com.","{'0': {'city': 'Mumbai', 'locality': 'Chunabhatti', 'clinic_geo_coordinates': {'latitude': 19.0519481, 'longitude': 72.8687725}, 'clinic_address': 'Bharati Memorial Building, Sion Trombay Road, Chunabhatti East, Landmark: Near Railway Station, Mumbai', 'clinic_url': 'https://www.practo.com/mumbai/hospital/pramukhswami-eye-hospital-chunabhatti', 'clinic_timings': ' MON 8:00 AM - 11:30 AM ', 'clinic_name': 'Pramukhswami Eye Hospital'}}"
18,Dr. Jayashree Divate,"MBBS, DOMS",Ophthalmologist/ Eye Surgeon,Not Verified,Not Scored,0.0,"Dr. Jayashree Divate is an Ophthalmologist/ Eye Surgeon in Borivali West, Mumbai. Dr. Jayashree Divate practices at Phoenix Hospital in Borivali West, Mumbai. She completed MBBS and DOMS.<br/><br/> You can get the phone number of Dr. Jayashree Divate on Practo.com.","{'0': {'city': 'Mumbai', 'locality': 'Borivali West', 'clinic_geo_coordinates': {'latitude': 19.2196915, 'longitude': 72.8380831}, 'clinic_address': 'CTS 374 / B(21), Padma Nagar, Chikuwadi, Borivali West, Mumbai, Landmark: Near Link Road, Mumbai', 'clinic_url': 'https://www.practo.com/mumbai/hospital/phoenix-hospital-6', 'clinic_timings': ' MON - SAT 5:30 PM - 6:30 PM ', 'clinic_name': 'Phoenix Hospital'}}"
19,Dr. H Kodial,"MBBS, MS - Ophthalmology",Ophthalmologist/ Eye Surgeon,Not Verified,Not Scored,0.0,"Dr. H Kodial is an Ophthalmologist/ Eye Surgeon in Opera House, Mumbai. Dr. H Kodial practices at Bay View Clinic in Opera House, Mumbai. He completed MBBS and MS - Ophthalmology.<br/><br/> You can get the phone number of Dr. H Kodial on Practo.com.","{'0': {'city': 'Mumbai', 'locality': 'Opera House', 'clinic_geo_coordinates': {'latitude': 18.947757, 'longitude': 72.796206}, 'clinic_address': 'Back Bay View 1st floor, 3A Mama Parmanand Marg, Opera House. Landmark: Next to TBZ Jewellers, Opposite Charni Road Station, Mumbai', 'clinic_url': 'https://www.practo.com/mumbai/clinic/bay-view-clinic-opera-house', 'clinic_timings': ' MON - FRI 5:00 PM - 7:00 PM ', 'clinic_name': 'Bay View Clinic'}}"
20,Dr. Vipul V. Vakil,"MBBS, MS - Ophthalmology",Ophthalmologist/ Eye Surgeon,Not Verified,Not Scored,0.0,"Dr. Vipul V. Vakil is an Ophthalmologist/ Eye Surgeon in Kandivali West, Mumbai. Dr. Vipul V. Vakil practices at Chokhawala Eye Clinic in Kandivali West, Mumbai. He completed MBBS and MS - Ophthalmology.<br/><br/> You can get the phone number of Dr. Vipul V. Vakil on Practo.com.","{'0': {'city': 'Mumbai', 'locality': 'Kandivali West', 'clinic_geo_coordinates': {'latitude': 19.196877, 'longitude': 72.848676}, 'clinic_address': '33-A, VAKIL BUNGLOW, KHAJURIA TANK ROAD, KANDIVALI (W), Mumbai', 'clinic_url': 'https://www.practo.com/mumbai/clinic/chokhawala-eye-clinic-kandivali-west', 'clinic_timings': 'Not Mentioned', 'clinic_name': 'Chokhawala Eye Clinic'}}"
21,Dr. Aditya Kapil,"MBBS, MS - Ophthalmology, DOMS",Ophthalmologist/ Eye Surgeon,Not Verified,Not Scored,0.0,"Dr. Aditya Kapil is an Ophthalmologist/ Eye Surgeon in Mulund West, Mumbai. Dr. Aditya Kapil practices at Nav Drishti Netralaya in Mulund West, Mumbai. He completed MBBS, MS - Ophthalmology and DOMS.<br/><br/> You can get the phone number of Dr. Aditya Kapil on Practo.com.","{'0': {'city': 'Mumbai', 'locality': 'Mulund West', 'clinic_geo_coordinates': {'latitude': 'NA', 'longitude': 'NA'}, 'clinic_address': 'A/7, 1st Floor, Alps Heights, Dr. R. P. Road,  Mulund West. Landmark: Opposite 396 Bus Stop &  Near Mulund Railway Station, Mumbai', 'clinic_url': 'https://www.practo.com/mumbai/clinic/nav-drishti-netralaya-mulund-west', 'clinic_timings': ' MON - SAT 10:00 AM - 1:00 PM6:00 PM - 8:30 PM ', 'clinic_name': 'Nav Drishti Netralaya'}}"
22,Dr. Sunil Vasani,"MBBS, MS - Ophthalmology",Ophthalmologist/ Eye Surgeon,Not Verified,Not Scored,0.0,"Dr. Sunil Vasani is an Ophthalmologist/ Eye Surgeon in Tardeo, Mumbai. Dr. Sunil Vasani practices at Bhatia  Hospital in Tardeo, Mumbai. He completed MBBS and MS - Ophthalmology.<br/><br/> You can get the phone number of Dr. Sunil Vasani on Practo.com.","{'0': {'city': 'Mumbai', 'locality': 'Tardeo', 'clinic_geo_coordinates': {'latitude': 18.9519644, 'longitude': 72.8083161}, 'clinic_address': 'Grant Road West, Landmark : Near Mathru Mandir, Mumbai', 'clinic_url': 'https://www.practo.com/mumbai/hospital/bhatia-hospital-grant-road-1-666080', 'clinic_timings': ' THU 9:00 AM - 10:00 AM ', 'clinic_name': 'Bhatia  Hospital'}}"
23,Dr. Bhavesh Pokar,"MS - Ophthalmology, FCPS - Mid. & Gynae, DOMS",Ophthalmologist/ Eye Surgeon,Not Verified,Not Scored,0.0,"Dr. Bhavesh Pokar is an Ophthalmologist/ Eye Surgeon in Mulund West, Mumbai. Dr. Bhavesh Pokar practices at Hira Mongi Navneet Hospital in Mulund West, Mumbai. He completed MS - Ophthalmology, FCPS - Mid. & Gynae and DOMS.<br/><br/> You can get the phone number of Dr. Bhavesh Pokar on Practo.com.","{'0': {'city': 'Mumbai', 'locality': 'Mulund West', 'clinic_geo_coordinates': {'latitude': 19.1712771, 'longitude': 72.950284}, 'clinic_address': 'Valji Ladha Road, Landmark : Near Kalidas Natyagruh & Opposite Acchija Hotel, Mumbai', 'clinic_url': 'https://www.practo.com/mumbai/hospital/hira-mongi-navneet-hospital-mulund-west1', 'clinic_timings': ' MON, WED, SAT 8:00 AM - 6:30 PM ', 'clinic_name': 'Hira Mongi Navneet Hospital'}}"
24,Dr. Brijesh Shah,"MBBS, MS - Ophthalmology, DOMS",Ophthalmologist/ Eye Surgeon,Not Verified,Not Scored,0.0,"Dr. Brijesh Shah is an Ophthalmologist/ Eye Surgeon in Vileparle East, Mumbai. Dr. Brijesh Shah practices at Sai Deep Eye Clinic Vile Parle in Vileparle East, Mumbai. He completed MBBS, MS - Ophthalmology and DOMS.<br/><br/> You can get the phone number of Dr. Brijesh Shah on Practo.com.","{'0': {'city': 'Mumbai', 'locality': 'Vileparle East', 'clinic_geo_coordinates': {'latitude': 19.076111, 'longitude': 72.879907}, 'clinic_address': 'KANCHAN, JUNCTION OF MG ROAD & CHITARANJAN ROAD, BEHIND CHAMPION FOODS, Landmark : OPP BJP OFFICE, BEHIND CHAMPION FOODS, Mumbai', 'clinic_url': 'https://www.practo.com/mumbai/clinic/skin-and-eye-associates-santacruz-east', 'clinic_timings': ' MON - SAT 4:00 PM - 8:00 PM ', 'clinic_name': 'Sai Deep Eye Clinic Vile Parle'}}"
25,Dr. Namrata Joshi,"MBBS, MS - Ophthalmology",Ophthalmologist/ Eye Surgeon,Not Verified,Not Scored,0.0,"Dr. Namrata Joshi is an Ophthalmologist/ Eye Surgeon in Bandra East, Mumbai. Dr. Namrata Joshi practices at Guru Nanak Hospital in Bandra East, Mumbai. The doctor completed MBBS and MS - Ophthalmology.<br/><br/> You can get the phone number of Dr. Namrata Joshi on Practo.com.","{'0': {'city': 'Mumbai', 'locality': 'Bandra East', 'clinic_geo_coordinates': {'latitude': 19.059844, 'longitude': 72.852553}, 'clinic_address': 'S/341, MIG Colony, Kala Nagar, Landmark : Near Chetna College, Mumbai', 'clinic_url': 'https://www.practo.com/mumbai/hospital/guru-nanak-hospital-bandra-east', 'clinic_timings': ' MON - SAT 11:00 AM - 12:00 PM ', 'clinic_name': 'Guru Nanak Hospital'}}"
